Age,M,F
0-4,121524,116289
5-9,120179,115141
10-14,120227,114842
15-19,126603,121612
20-24,130255,125951
25-29,129993,126259
30-34,118635,117046
35-39,111151,111882
40-44,116347,118466
45-49,106646,109793
50-54,94168,101352
55-59,92533,102062
60-64,81755,93781
65-69,66567,79582
70-74,52313,69472
75-79,37926,57041
80-84,24168,46000
85-89,14052,34273
90-94,5292,19567
95-99,1354,7598
100+,201,1833
