Age,M,F
0-4,3890084,3692718
5-9,3495375,3299023
10-14,3106933,2958060
15-19,2792369,2673894
20-24,2879306,2846892
25-29,3566661,3592530
30-34,4288298,4328063
35-39,3996341,4010945
40-44,3111695,3050931
45-49,2537246,2486001
50-54,2245463,2226592
55-59,1767297,1790401
60-64,1501057,1507612
65-69,1053913,1063962
70-74,669681,687308
75-79,468521,414409
80-84,320024,242550
85-89,167534,115131
90-94,26375,30662
95-99,5482,6050
100+,235,269
