Age,M,F
0-4,1522376,1473864
5-9,1494308,1446736
10-14,1312481,1269502
15-19,1142802,1092687
20-24,1278548,1144722
25-29,1675809,1358777
30-34,1987178,1385366
35-39,2187970,1326461
40-44,2233505,1253956
45-49,1759482,915535
50-54,1215462,579907
55-59,849283,411345
60-64,502092,279004
65-69,298643,227320
70-74,145436,133571
75-79,100348,96783
80-84,48471,53913
85-89,20955,24250
90-94,6851,8900
95-99,1456,2192
100+,76,206
