Age,M,F
0-4,4829595,4570444
5-9,4702459,4459404
10-14,4054317,3866509
15-19,3514510,3360519
20-24,3497025,3355361
25-29,4952556,4794402
30-34,6408679,6362169
35-39,5776911,5904988
40-44,5052778,5402179
45-49,4556018,4972579
50-54,4040879,4705000
55-59,4775206,5928651
60-64,4178725,5831635
65-69,3125008,4958868
70-74,1767780,3208370
75-79,964092,2326630
80-84,962876,2587982
85-89,301779,1017348
90-94,129258,554212
95-99,11757,94056
100+,730,8013
