Age,M,F
0-4,7454197,7117753
5-9,7469798,7146432
10-14,7727130,7424459
15-19,8383635,8097851
20-24,8711984,8494800
25-29,8542090,8432526
30-34,8623220,8639595
35-39,8511655,8661714
40-44,7523486,7780880
45-49,6616618,6981933
50-54,6107921,6593438
55-59,5376802,5948447
60-64,4275622,4880012
65-69,3261073,3875478
70-74,2234841,2810744
75-79,1422037,1933468
80-84,888580,1342561
85-89,402311,714933
90-94,156399,331531
95-99,38661,94171
100+,5100,13633
