Age,M,F
0-4,523035,496223
5-9,507390,476772
10-14,430169,399565
15-19,408991,378408
20-24,433464,404827
25-29,457596,456368
30-34,456120,486087
35-39,478599,495107
40-44,393425,424295
45-49,347942,370109
50-54,339360,368374
55-59,314676,320348
60-64,255545,266926
65-69,188992,208802
70-74,104570,129264
75-79,76246,95793
80-84,49676,70440
85-89,24630,36298
90-94,6267,10034
95-99,1230,2525
100+,56,175
